application_id,challenge_id,startup_id,ground_truth_technology_fit,ground_truth_problem_fit,ground_truth_sector_fit,ground_truth_experience_fit,ground_truth_team_fit,ground_truth_scalability_fit,ground_truth_revenue_fit,ground_truth_location_fit,ground_truth_eligibility,ground_truth_overall_quality
5ffc2206-acd0-46f9-87b0-9e2e2b28bff4,74c6741e-4b17-44b6-bae9-1e967acb7ef7,076288bb-bb69-4d83-9e3e-281002c6116c,0.0,-3.8,3,100,90,60,100,40,False,33.54
5808ee40-6594-4177-834a-d437c452f59c,c6407a8d-c6b5-4631-8445-9fb5474f07c7,c96f7db6-0966-427b-bebb-6631acf00125,33.33,23.6,19,100,70,60,100,100,False,51.62
f13d5463-7882-48d0-8977-afc2c565ee10,61370f10-eee0-4038-868d-5f5c912b2943,14494b08-741f-4072-9c25-c1e126d0de60,0.0,7.6,14,100,70,60,100,40,False,34.92
527f737a-2c8b-447d-8846-b9ed4ed223b6,2cf52316-f696-49ec-a725-0b6df727b6b5,e0652666-ace8-4b09-9d3b-4c2c45ab2338,0.0,9.2,13,100,50,100,100,100,False,58.14
d6849db5-c0b7-4b8a-9471-beb0ddf92a4f,85a17dc8-2912-45b6-8624-fd81f71a5495,34b6258b-be3d-404c-9d18-6e7e93515158,33.33,13.0,0,100,70,60,100,100,True,47.6
459d3ed1-0da6-4e02-b642-ef4f407d9dfd,ea929030-c88a-4386-886c-ee28fb327c28,3cf76716-33da-437c-8482-a14d021eaf9d,0.0,-0.8,13,60,50,30,100,100,False,26.64
54004fa8-80c7-423f-b6be-cab35e18119d,81dec053-8422-43eb-a339-fc1bd5b50d1d,ad4020db-5274-41fc-88f0-5cd7c08be7ef,0,18.0,50,100,90,100,100,100,False,27.6
acd45ccf-7fc7-431f-b142-7918f9fe7880,34c42a9b-ed9b-4714-90f4-719a0ab75118,5e7a6bca-3f2e-4911-9e78-e7b0bd6ad84c,30,24.2,18,100,50,30,100,100,False,47.14
57c2e462-4935-4d6e-b126-b39db31f0ddb,7b33abe6-5813-4f74-a374-5ec39b676bcd,fc4ccf17-7556-4af3-b86e-822937690624,0.0,0.4,11,40,70,60,100,100,False,27.18
e1e96625-c48b-4696-9e67-e25a44c940c3,98b18b99-09b1-4480-8e0a-e6b62203a9dc,30467a09-2052-4291-a7c1-38bc0089c2b6,0.0,4.0,10,100,90,30,100,40,False,34.3
8a7c27a4-d7f2-4ab6-8a6f-a1a2a4a48ed6,681d46c3-f91d-44c0-bff1-a526ce5fb88a,4b6a53d1-5386-4473-9a65-4f9bdc652ef9,0.0,25.0,50,100,90,100,100,40,False,46.0
742ba463-2227-4444-8b7a-fbb78f829ab5,20a74af2-72e1-4308-b616-2deecb436d99,9c23402e-6bd3-41d5-8ef2-88d7dfbc8202,30,49.0,100,100,90,100,91.0,40,False,84.35
f2fc1eac-cacf-4cf3-9284-369764b66471,f9c2d49e-1a3c-4523-b4a2-9c92d21096f3,8613beb6-c61f-4d8d-9228-2fc28364be74,0.0,-5.4,9,100,90,100,100,100,False,38.82
5e7515fc-f7ec-450a-b35d-8d471eedf3eb,85a17dc8-2912-45b6-8624-fd81f71a5495,e447bd35-d791-4518-a623-60c371903a15,0.0,6.0,5,100,70,100,46.0,40,False,33.0
3fee7a5f-177d-4396-8032-7496937cd48a,61370f10-eee0-4038-868d-5f5c912b2943,a306967b-af2e-4179-b22b-cf1619e3fceb,0.0,-7.0,0,100,50,60,38.0,40,False,25.5
77bbbcde-82ab-46b0-bda8-c71ef6b3d139,e257edbd-289c-420b-9e7f-fbd7e8aee60e,237dabc9-3641-489c-b070-de80368ada93,30,50.0,100,0,50,30,100,100,False,45.5
747f8e3a-9ac9-41b4-b61f-cecfded291a7,98b18b99-09b1-4480-8e0a-e6b62203a9dc,0c4fbcae-bc00-4417-b725-72e472da0167,0,34.6,19,100,90,100,100,100,False,36.82
0077d913-c3f7-4646-a678-9bb46f04d224,17f1dc4f-32f6-481f-aaf2-59d5506eaf5f,9ad57ef8-d5e4-4e79-b6d8-4b4b98b54209,30,43.0,50,100,90,30,100,100,False,58.1
d324652b-8053-4db9-8ade-6563a113f8de,23a5d305-eda0-4e94-8e98-f4c86a0ad297,1fe21af5-7144-4877-b3bf-30ab244d086f,0,2.8,12,100,90,30,15.0,100,False,13.01
04f84d93-b358-4848-8336-ab2b7414c513,5d47c32c-9bdd-4b73-95b2-b9200c65f614,b1f7298a-f560-4e1b-8cb7-ca445374abc9,0.0,-4.2,2,100,90,60,72.0,100,False,34.96
f7a77846-2178-4213-97bb-97cdf80ec613,6649f2a7-84f5-4e94-88b8-38afab9d76f7,66d6b53d-c06c-40a9-9ab7-eb8db23d401c,30,15.8,2,100,70,100,100,100,False,49.36
505c0dee-f1e0-433d-b717-9bd33a65f5b8,e257edbd-289c-420b-9e7f-fbd7e8aee60e,560c8afb-355d-4aa9-a4e1-1a2a2bf3ddcc,0.0,3.2,8,100,50,60,100,40,False,31.44
23506cd3-a527-40eb-8374-01433e4de60b,b365bb8d-2f29-40fd-ba99-3bc53c5da8a3,470ee4c9-aec3-443c-ad67-bf6f8470b0db,0.0,9.2,18,80,90,60,100,100,False,37.64
291b994f-aa22-4874-9990-e1e9d6a5426c,98b776f3-143a-49e1-afab-2a677ea2f30c,9acffb6c-e827-41f1-a107-8d288496c895,100,63.6,9,100,90,60,69.0,100,True,79.07
d6c3070f-6cec-499a-87b6-048c683fe59f,b365bb8d-2f29-40fd-ba99-3bc53c5da8a3,19a73e66-bf9c-43be-9ae9-bddd76d56a20,0.0,-2.4,4,60,70,60,100,100,False,28.92
da0eb35b-c408-4f62-9ee3-b8a6b7c7e7cf,8c16eb41-a593-4db1-8576-acfb20a95d5d,558f4fe0-60f0-4539-baa4-ae7a4ccc2eaf,100,59.6,14,100,90,30,100,100,True,78.82
94b6a39c-f557-4c88-a9a0-e9475e96e641,6b9511fa-630b-46d9-9da9-89a13ef57a3b,470ee4c9-aec3-443c-ad67-bf6f8470b0db,0.0,14.4,16,80,90,60,100,100,False,38.48
0c224130-cd7a-4a8a-9c82-85ee07af2525,e7f45d2f-34cb-419a-8270-bf960d8fe50a,25c2db0f-c28f-44f8-b812-5ff45d4bc408,30,29.0,5,100,50,30,100,100,False,66.8
