mentorship_id,application_id,mentor_domain,mentor_experience_years,mentorship_focus,mentorship_status,sessions_completed,mentor_feedback,pilot_readiness_score
8f19f904-e70b-4a73-8e4a-f30f95b01921,da0eb35b-c408-4f62-9ee3-b8a6b7c7e7cf,Business Scaling,12,Product Refinement and Scalability,Completed,2,"Strong technical team, needs help with GTM strategy.",68
3e53f356-86e8-433f-ab3a-e101e786de38,161e9700-6bef-4ec5-b51e-8005d4907524,Financial Modeling,15,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",92
7b263997-3973-4d3b-a3ae-fab09846b67d,34923784-3f24-412b-b53c-92d2c4545d71,Financial Modeling,14,Product Refinement and Scalability,Completed,10,"Strong technical team, needs help with GTM strategy.",69
46566388-ceb7-49ed-a196-276afbe7d476,e0f0d186-05a4-4013-b788-e80da9a834cf,Government Procurement,10,Product Refinement and Scalability,Ongoing,5,"Strong technical team, needs help with GTM strategy.",65
6d87ae6b-7561-4b7c-9283-297010959252,9ca96763-7182-4532-b813-945f0cd0f6ec,Business Scaling,21,Product Refinement and Scalability,Completed,10,"Strong technical team, needs help with GTM strategy.",74
5cc7a296-1bdf-4620-a361-12ea737c48e3,53faac6b-d691-4f10-a6ae-a5acb8e43d52,Business Scaling,20,Product Refinement and Scalability,Ongoing,8,"Strong technical team, needs help with GTM strategy.",91
e9a884e6-22a9-4c9d-bb7a-34cd8e87306d,149ec857-fb76-4a47-ac52-1c3294b1f8f9,Business Scaling,14,Product Refinement and Scalability,Ongoing,7,"Strong technical team, needs help with GTM strategy.",72
e343a1a0-6621-4494-95ef-cb4f7976ea76,18c7a903-f500-4e3a-a280-5efca0d6af6f,Technology Strategy,20,Product Refinement and Scalability,Completed,7,"Strong technical team, needs help with GTM strategy.",71
7e2916f0-e011-41c2-8023-c0a8e728f1ae,cde211b0-ae96-4671-8ffe-0c4b5da4aa0a,Business Scaling,13,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",62
bd82652f-8536-4dea-89c9-9cc2cdc758bf,aef663f4-b8c0-4233-9ce9-3486d20827e2,Technology Strategy,27,Product Refinement and Scalability,Completed,2,"Strong technical team, needs help with GTM strategy.",90
80a1fa28-604f-4038-bf33-6a67116558a6,a92a8afa-8d44-475d-bb35-aebdccd7444d,Business Scaling,15,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",95
41842267-9d1d-48a5-b6f1-e8fab3b882ea,094c83ae-5fa6-46d1-b378-c4dd068f1f47,Financial Modeling,10,Product Refinement and Scalability,Completed,2,"Strong technical team, needs help with GTM strategy.",62
4cea2a50-a1e2-43fb-ba80-df3d75276e86,e07a7948-c6e1-4e2a-aac3-243ef5087742,Technology Strategy,13,Product Refinement and Scalability,Ongoing,4,"Strong technical team, needs help with GTM strategy.",62
0d1f1ff5-5f60-4b98-a717-378fcc172a9e,0cf54383-757d-490a-9e80-80a04e37a664,Technology Strategy,28,Product Refinement and Scalability,Completed,2,"Strong technical team, needs help with GTM strategy.",72
0437711f-025e-4bbc-b958-3f6b7444b608,d014dc64-9bd1-478f-b164-1716a9068698,Government Procurement,28,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",70
436f1747-ee5a-45dc-9dee-f3cadd985823,7e969667-f0a2-415e-b6e9-5c31950721f2,Technology Strategy,24,Product Refinement and Scalability,Ongoing,10,"Strong technical team, needs help with GTM strategy.",63
3fd97a5b-434d-4518-9a63-70a700736c0e,7e496e49-3204-4bd6-88ae-239459b1fb19,Government Procurement,19,Product Refinement and Scalability,Completed,8,"Strong technical team, needs help with GTM strategy.",98
2ce0ad46-0a29-4bea-bbb4-6906dc2c305d,9e4f08b3-c9dc-4fc4-81bc-0e6589828997,Technology Strategy,11,Product Refinement and Scalability,Ongoing,5,"Strong technical team, needs help with GTM strategy.",65
e133f785-8af4-40b3-b694-f096f88c7b94,e7f61762-3868-4720-b3ee-70bad164e634,Business Scaling,24,Product Refinement and Scalability,Ongoing,6,"Strong technical team, needs help with GTM strategy.",77
01126b46-21f3-4d5b-93c2-f72e9dbbd0c1,35933811-6942-427a-9bd6-f5728fafb55e,Financial Modeling,28,Product Refinement and Scalability,Ongoing,6,"Strong technical team, needs help with GTM strategy.",97
388e4721-4cef-4e24-92bb-e14aa19708f5,8791c8c9-f14b-4679-ba95-1939bea12f0e,Government Procurement,29,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",71
802c5ef8-bffe-477e-863b-d7d75213c252,b4e2483a-f3a4-430d-8072-d5d980f75485,Business Scaling,11,Product Refinement and Scalability,Completed,9,"Strong technical team, needs help with GTM strategy.",93
6fa64858-7a8c-4a82-8bdc-c9366f1122eb,0e3b2e2f-e8de-4cd0-a1b9-c071f082047e,Technology Strategy,13,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",74
7e21f6a4-0370-462f-9378-7c0f983d1e3b,4a42c3b4-47db-43fb-8ad6-86345c692dc6,Technology Strategy,12,Product Refinement and Scalability,Completed,9,"Strong technical team, needs help with GTM strategy.",61
367cd5cd-82e3-4f45-b92d-2135d4a6ac39,a159fff5-88e1-49c7-8c91-d104bfd39155,Technology Strategy,14,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",90
e3a71481-e4f0-4edb-8c77-4c00c62fc748,0fd04e7d-62e0-4c6b-8b53-7c5a1e7f8a50,Government Procurement,16,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",70
da38f0f1-c069-4b4d-9b58-335780c47240,77aa92a9-1e39-4474-90df-8caeddba2206,Financial Modeling,21,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",82
4d525313-ffca-43a4-b3af-253a0a3aedfc,4885cfeb-fd89-41b3-b830-536ab7695682,Government Procurement,29,Product Refinement and Scalability,Ongoing,4,"Strong technical team, needs help with GTM strategy.",100
86d5348a-be62-4038-a67c-72f077b2ec22,83e033e4-2af7-44f3-80b7-95d683464df6,Financial Modeling,19,Product Refinement and Scalability,Ongoing,6,"Strong technical team, needs help with GTM strategy.",96
5d2e02d9-78a4-4f25-8a28-d1e95ad12578,bd610a90-6b34-48ce-8ce8-e5a463bee241,Government Procurement,29,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",92
bd2ddb0e-27ba-4486-a57d-987151523b30,3545da9f-628d-4238-a904-84bef810d536,Financial Modeling,20,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",88
77800656-c872-4903-a824-25dbc6f6f5f2,d446eada-66f3-4176-9e1d-e6306e418afa,Technology Strategy,12,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",71
935eb16b-9272-4827-9c0e-53d7107f0f65,93bbb139-e397-4918-8d37-dc2704589334,Business Scaling,22,Product Refinement and Scalability,Ongoing,10,"Strong technical team, needs help with GTM strategy.",65
a75755f5-0e94-4c4d-8440-b6a286ea4880,ba5fdbca-e178-4ae3-bb27-5b11bd718938,Government Procurement,10,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",86
60bcd5d8-ee48-478d-a48a-badc4394f196,c3632f88-49ac-4b47-8dc6-3be546d7e9ff,Business Scaling,16,Product Refinement and Scalability,Ongoing,3,"Strong technical team, needs help with GTM strategy.",91
6b12a69a-0e59-431c-92a4-8a9b4c28be3e,8cd0ad91-abce-4968-99c2-69a2e8d1889c,Government Procurement,22,Product Refinement and Scalability,Completed,7,"Strong technical team, needs help with GTM strategy.",73
de51dee6-ded8-40ba-9727-591bbe5343fd,238cb5e3-9bc2-422f-8389-a995a6f65d1b,Government Procurement,25,Product Refinement and Scalability,Ongoing,7,"Strong technical team, needs help with GTM strategy.",82
50fb4e9e-0172-43bc-a9f4-bf0d6e999681,11d1960c-2669-4aa7-ade2-7d038cb8f251,Technology Strategy,13,Product Refinement and Scalability,Completed,5,"Strong technical team, needs help with GTM strategy.",61
d3d4075a-f0bb-4908-b8ff-09fe137d1e2c,a2388fad-911e-48c2-9474-cafeb7ee6b83,Financial Modeling,22,Product Refinement and Scalability,Completed,3,"Strong technical team, needs help with GTM strategy.",92
f15f5268-193f-4daa-9591-fe2e4b715f97,13f8d19f-909f-4226-8e9c-d2106e3e5421,Government Procurement,10,Product Refinement and Scalability,Completed,4,"Strong technical team, needs help with GTM strategy.",94
07498233-5f8f-4420-bd79-990e066f8537,8b31c5d3-1dc6-4cd1-9c48-0e8d418e546a,Government Procurement,15,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",98
a0bd4238-da51-4744-81f1-e55c142259b6,0e54cc77-dd64-43ee-aa35-64ca20a1f807,Technology Strategy,11,Product Refinement and Scalability,Completed,4,"Strong technical team, needs help with GTM strategy.",98
3ea5a8a9-fcd8-4a2e-a400-9ea402287f2a,1b52389f-64b5-47b2-8c18-8c668e6fee9a,Financial Modeling,25,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",68
0a4e82fa-09af-4e34-b73e-4826afb249fc,e6496a5c-6770-4bad-a7de-30cba8fe853a,Business Scaling,16,Product Refinement and Scalability,Ongoing,5,"Strong technical team, needs help with GTM strategy.",70
861c4511-933c-4624-bdeb-a3bcff6d8a0b,5b16b50f-39d3-41c0-a9bd-61ce2889dd32,Business Scaling,12,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",77
459d82b1-ce20-4384-921b-5b160303c865,78243cd4-d4b4-4fcd-bcb1-83dfdcc55cf2,Government Procurement,10,Product Refinement and Scalability,Completed,7,"Strong technical team, needs help with GTM strategy.",66
65c77a62-0a49-4d83-a317-cd841448d2d5,dde2625f-e23a-416a-b743-95d123d7b177,Business Scaling,29,Product Refinement and Scalability,Completed,9,"Strong technical team, needs help with GTM strategy.",69
ead46a17-008d-49bb-9580-0364fea19447,1865326f-5242-46f0-b166-32d5d008e85e,Financial Modeling,13,Product Refinement and Scalability,Completed,5,"Strong technical team, needs help with GTM strategy.",77
53716250-7a46-4846-816e-0808db21f0f9,6f71d4cb-3423-43e6-8595-0035fc80037c,Financial Modeling,12,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",85
3ca64352-dcfe-4123-8eb3-4de370763af3,3ce52307-51f0-46c9-9580-08a9eec0ab9b,Financial Modeling,30,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",90
b58a406c-0114-4312-8c96-be254fdec4ff,8648abf8-ef2a-4ae4-8427-f12d59641832,Government Procurement,14,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",81
7dc49db9-420d-4edc-bd94-90431d559d23,7087cc90-15f8-4425-8b19-3452685e70bd,Government Procurement,30,Product Refinement and Scalability,Completed,6,"Strong technical team, needs help with GTM strategy.",94
774c1308-661c-4bfe-8aba-372b0351d88b,646300fe-9b10-4d28-9cc1-1609ee15a90f,Financial Modeling,12,Product Refinement and Scalability,Completed,5,"Strong technical team, needs help with GTM strategy.",63
90254bd1-df36-402b-b2f7-5390380c86dd,0d15a1f4-cef1-4f32-a489-123d80037b62,Financial Modeling,16,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",77
ca348953-8702-4063-8681-39d678a6dc3d,b7f67f04-feda-45df-b84e-b49705e78a3d,Financial Modeling,24,Product Refinement and Scalability,Completed,5,"Strong technical team, needs help with GTM strategy.",66
86b1b236-3ba8-469c-8223-b3bd8ae3c337,5ae670fe-10c0-49a5-b9e5-d0a504f4dbeb,Business Scaling,13,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",69
e2822ec7-d93b-4cbc-95ff-fe6af5b7ab6f,f5ec3234-2fcb-4d6a-bd53-28a0e08d83e4,Financial Modeling,24,Product Refinement and Scalability,Ongoing,6,"Strong technical team, needs help with GTM strategy.",91
2553d3cb-9255-47ab-b23a-f23f468c7c3a,69343952-430e-470d-9ad4-a1e172b0c71c,Business Scaling,30,Product Refinement and Scalability,Ongoing,9,"Strong technical team, needs help with GTM strategy.",95
5e30acc3-0ed1-41ed-bbcb-53c09cda273b,28d447be-27ae-48ba-8405-f67a7862474b,Technology Strategy,23,Product Refinement and Scalability,Completed,9,"Strong technical team, needs help with GTM strategy.",81
97fdf5a6-9d3a-40d9-95e7-2664e6146d63,87bd5e27-ba37-42ee-93af-dbc3311b09a1,Technology Strategy,29,Product Refinement and Scalability,Ongoing,7,"Strong technical team, needs help with GTM strategy.",89
68ea0232-a689-43e2-8a74-27c336f6a258,be3bc7c3-d7ff-4f74-b091-af9c897870a4,Government Procurement,18,Product Refinement and Scalability,Ongoing,7,"Strong technical team, needs help with GTM strategy.",89
56931af6-863f-43ae-a8ea-75f9b2a2b638,1abf4451-1f9d-4a9d-aec8-b528b5daa0b6,Technology Strategy,18,Product Refinement and Scalability,Ongoing,10,"Strong technical team, needs help with GTM strategy.",71
617ff4aa-8f75-4d93-97a1-ec67e996efea,33ec0bf6-7ac6-4f25-a37a-0a85e29d12d2,Business Scaling,27,Product Refinement and Scalability,Ongoing,2,"Strong technical team, needs help with GTM strategy.",99
df5912f3-bdd8-416d-97f4-416d5d6afdd0,ebab0640-459b-4495-97b4-8068c3654c4b,Financial Modeling,14,Product Refinement and Scalability,Ongoing,5,"Strong technical team, needs help with GTM strategy.",80
3c23e0e0-70b8-42a6-930f-49050d774eeb,325757b6-3340-4a33-bbcc-6b3afb7c95e6,Business Scaling,13,Product Refinement and Scalability,Ongoing,4,"Strong technical team, needs help with GTM strategy.",95
