pilot_id,application_id,pilot_start_date,pilot_end_date,pilot_location,pilot_status,pilot_kpis,kpi_target,kpi_achieved,technical_success_score,operational_success_score,user_adoption_score,scalability_score,overall_pilot_score,pilot_result
3d118682-52c2-470c-b2ed-5660bb88cdc0,34923784-3f24-412b-b53c-92d2c4545d71,2026-06-28T18:40:05.943171Z,2026-07-14T18:40:05.943171Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,86,85,87,90,81,86,Successful
7166a27b-9a70-4032-8843-4a7509ad8e0f,e0f0d186-05a4-4013-b788-e80da9a834cf,2026-06-26T18:40:05.943246Z,2026-08-09T18:40:05.943246Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,99,97,100,97,95,99,Successful
f85b35b9-89dc-45c0-a680-a9be89aed798,149ec857-fb76-4a47-ac52-1c3294b1f8f9,2026-07-07T18:40:05.943325Z,2026-07-25T18:40:05.943325Z,Kolkata,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,85,86,89,86,86,85,Successful
9a3844c6-29c2-4e86-a22c-3feb01ef2606,e07a7948-c6e1-4e2a-aac3-243ef5087742,2026-07-21T18:40:05.943369Z,2026-08-05T18:40:05.943369Z,Guwahati,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,27,30,26,37,28,27,Unsuccessful
c2aae147-eb53-4fd2-92b6-5ed73c21a351,0cf54383-757d-490a-9e80-80a04e37a664,2026-08-02T18:40:05.943390Z,2026-09-21T18:40:05.943390Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,86,83,89,92,83,86,Successful
c9760777-4e01-45fc-8420-d235698684a5,7e496e49-3204-4bd6-88ae-239459b1fb19,2026-07-16T18:40:05.943411Z,2026-09-05T18:40:05.943411Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,44,43,42,49,46,44,Unsuccessful
5f086cae-9599-4bc3-acb1-3a12ff1bd3e8,9e4f08b3-c9dc-4fc4-81bc-0e6589828997,2026-07-27T18:40:05.943424Z,2026-08-17T18:40:05.943424Z,New Delhi,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,96,94,101,106,92,96,Successful
8da08862-5f16-4d57-ae15-ff82d6ce8a21,b4e2483a-f3a4-430d-8072-d5d980f75485,2026-06-30T18:40:05.943437Z,2026-07-20T18:40:05.943437Z,Ahmedabad,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,40,40,45,37,35,40,Unsuccessful
448ff9e7-120c-45d0-93ee-e6536a23a3a5,0fd04e7d-62e0-4c6b-8b53-7c5a1e7f8a50,2026-06-12T18:40:05.943450Z,2026-07-07T18:40:05.943450Z,Coimbatore,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,11,10,14,13,14,11,Unsuccessful
40d8b9d8-66e2-44ed-a155-62b70154d9d1,3545da9f-628d-4238-a904-84bef810d536,2026-07-31T18:40:05.943466Z,2026-09-19T18:40:05.943466Z,Pan India,Completed,"['System Uptime', 'User Adoption', 'Processing Speed']",100,89,84,88,81,86,89,Successful
